word,def
dexterity,skill (esp. in handling),,
luminary,star; light-giving body,,
evoke,call up bring out,,
renovate,restore something to better condition,,
parenthesis,sentence within another one something separated,,
bogus,sham; counterfeit; not genuine,,
mesmerize,hypnotize,,
clot,half-solid lump formed from liquid,,
misogynist,one who hates women/females,,
volatile,changeable inconstant fickle unstable explosive,,
yarn,tale story fibers for knitting,,
eradicate,get rid of pull up by the roots,,
impede,hinder; get in the way of,,
indigenous,native,,
strive,to make great efforts, to struggle,
flop,fail/move/fall clumsily,,
turmoil,trouble disturbance,,
suffice,be enough,,
beguile,mislead or delude; cheat; pass time,,
enigma,something that is puzzling,,
turbulence,being uncontrollably violent,,
odor,smell,,
skit,short piece of humorous writing,,
console,give comfort or sympathy to,,
incongruous,out of place; not in harmony or agreement,,
hypocrisy,falsely making oneself appear to be good,,
mite,A very small amount, portion, or particle
conjoin,to join together,,
meticulous,giving great attention to details,,
constrict,make tight or smaller,,
extinguish,end the existence of/wipe or put out,,
foolproof,incapable of failure or error,,
elaborate,worked out with much care in great detail,,
negligent,taking too little care,,
malevolent,malicious; evil; having or showing ill will,,
sophisticated,complex; subtle; refined,,
defer,postpone,,
recuperate,become strong after illness loss exhaustion,,
somersault,rolling backward or forward (not sideways) movement,,
antidote,medicine used against a poison or a disease,,
sawdust,tiny bits of wood,,
centurion,leader of a unit of 100 soldiers,,
acclaimed,welcomed with shouts and approval,,s
apartheid,brutal racial discrimination,,
offhand,Without preparation or forethought,,
evasive,tending to evade,,
ambiguous,doubtful; uncertain,,
animosity,strong dislike,,
inclined,directing the mind in a certain direction,,
eloquence,fluent speaking skillful use of language,,
opaqueness,dullness/not allowing light to pass through,,
extralegal,outside the law,,
pivotal,of great importance (others depend on it),,
amalgamate,mix; combine; unite societies,,
dote,show much fondness center one's attention,,
disallow,refuse to allow or accept as a correct,,
commuter,person who travels regularly,,
indulgent,inclined to indulge,,
implosion,collapse; bursting inward,,
dislodge,move force from the place occupied,,
sporadic,happening from time to time,,
mischievous,harmful; causing mischief,,
retrograde,receding,,
poseur,a person who attempts to impress by acting unlike himself,,
pertain,belong as a part have reference,,
immutable,that cannot be changed,,
gerontocracy,government ruled by old people,,
salvage,the saving of property from loss,,
fission,splitting or division (esp. of cells),,
succumb,yield, die,
curriculum,course of study,,
benefactor,person who has given help,,
endeavor,to make an effort, to try very hard,
inquest,Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death,
Lambaste,attack verbally,,
dangle,hand or swing loosely,,
dormant,in a state of inactivity but awaiting development,,
riddle,puzzling person or thing,,
adorn,add beauty; decorate,,
shunned,avoided, kept away from,
alleviate,make (pain) easier to bear,,
fleet,number of ships; quick-moving,,
satiate,satisfy fully,,
grumble,to complain,,
commemorate,keep the memory of,,
pest,destructive thing or a person who is nuisance,,
implicit,implied though; not plainly expressed,,
forgery,counterfeit,,
buoyant,able to float; light-hearted,,
derivative,unoriginal; obtained from another source,,
adulteration,making unpure; poorer in quality,,
reconcile,settle a quarrel restore peace,,
limp,lacking strength; walking unevenly,,
sanction,approval (by authority) penalty,,
ail,to cause pain, uneasiness, or trouble to.
cryptic,secret with a hidden meaning,,
superimpose,put something on the top,,
presentiment,anticipatory fear; premonition,,
eulogy,formal praise panegyric,,
coagulation,change to a thick and solid state,,
shard,A piece of broken pottery,,
pilferer,to steal, especially in small quantities,
perish,be destroyed decay,,
connote,Suggest or imply in addition to the precise, literal meaning,
clientele,customers,,
alloy,to debase by mixing with something inferior,,
gullible,easily gulled,,
calipers,metal supports attached to the legs measuring instrument,,
reminiscent,suggest something in the past,,
fidelity,loyalty accuracy,,
predominate,have more power than others,,
knit,draw together; unite firmly,,
tonic,something giving strength or energy,,
timid,shy easily frightened,,
introspection,examining one's own thoughts and feelings,,
paradigm,a model example or pattern,,
gait,a manner of walking, stepping, or running
introvert,one who turns towards himself,,
moribund,in a dying state; near death,,
tadpole,form of a frog when it leaves the egg,,
ambivalent,having both of two contrary meanings,,
ingest,take in by swallowing,,
erratic,irregular in behaviour or opinion,,
entice,attract, lure,
vivacious,lively high-spirited,,
anguish,severe suffering,,
complaisant,trying to please; obliging,,
grievous,causing grief or pain; serious dire grave,,
ascend,go or come up,,
judicious,sound in judgment; wise,,
submerge,put under water liquid sink out of sight,,
indistinct,not easily heard; not clearly marked,,
embezzle,use in a wrong way for one's own benefit,,
renowned,celebrated; famous,,
partisan,one-sided committed to a party biased or prejudiced,,
catalyst,substance that causes speeding up,,
sheath,cover for the blade of a weapon or a tool,,
narcissism,Self-love,,
yeoman,man owning small estate; middle-class farmer,,
malleable,yielding easily shaped; moldable; adapting,,
steeply,rising or falling sharply,,
patron,regular customer person who gives support,,
relapse,fall back again,,
shallow,little depth; not earnest,,
retrospective,Looking back on past,,
agile,active; quick-moving,,
scent,smell (especially pleasant),,
plea,request,,
abide,be faithful; to endure,,
moderation,quality of being limited; not extreme,,
abhor,to hate; to detest,,
disproof,proof to the contrary,,
drowsiness,feeling sleepy half asleep,,
vigorous,strong energetic,,
garrulous,too talkative,,
arcane,known or understood by very few,,
encapsulate,enclose in capsule,,
chortle,loud chuckle of pleasure or amusement,,
braggart,boastful,,
dullard,a stupid, insensitive person,
warrant,authority written order guarantee,,
aberration,straying away from what is normal,,
hospitable,liking to give hospitality,,
tractable,easily controlled or guided,,
permeate,spread into every part of,,
legacy,Bequest or inheritance,,
flimsy,lacking solidarity, strength,
nihilism,total rejection of all religious and moral beliefs,,
dupe,cheat make a fool of,,
concur,agree in opinion happen together,,
redeem,get back by payment compensate,,
ameliorate,improve; make better,,
auxiliary,helping; supporting,,
philanthropist,one who loves mankind,,
colloquial,involving or using conversation.,,
arrogance,proud; superior manner of behaviour,,
audacious,Bold,,
sobriety,quality or condition of being sober,,
aggravate,make worse; irritate,,
livid,Furiously angry, enraged,
sanity,health of mind soundness of judgment,,
unscathed,unharmed unhurt,,
brittle,easily broken,,
foster,nurture; care for,,
ambidextrous,able to use the left hand or the right equally well,,
impromptu,without preparation,,
scribble,write hastily,,
connoisseur,a person with good judgement (e.g.. in art),,
pluck,pull the feathers off pick (e.g.. flowers),,
bewilder,puzzle; confuse,,
liberality,free giving; generosity,,
impermeable,that cannot be permeated,,
boisterous,noisy; restraint,,
infuriate,fill with fury or rage,,
affinity,close connection; relationship,,
stride,walk with long steps,,
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures,,
accolade,praise; approval,,
treacherous,not to be trusted; perfidious,
gallant,brave;behaves well with women,
sequence,succession connected line of,,
allegiance,duty support loyalty,,
sluggard,lazy slow-moving person,,
suffocate,cause or have difficulty in breathing,,
enduring,lasting,,
stray,wander; lose one's way,,
fragile,easily injured broken or destroyed,,
extinct,no longer active,,
perjury,willful FALSE statement unlawful act,,
combustion,process of burning,,
endorse,write one's name on the back of,,
edify,instruct; correct morally,,
brass,yellow metal (mixing copper and zinc),,
cordial,warm and sincere,,
heterogeneous,made up of different kinds,,
jabber,talk excitedly; utter rapidly,,
ossified,turned to bone; hardened like bone; Inflexible,,
disrobe,undress,,
apt,well-suited; quick-witted,,
correlate,have a mutual relation,,
surcharge,additional load/charge,,
precursors,a person or thing that precedes; as in a process or job.,
weigh,measure how heavy something is,,
recitals,a number of performance of music,,
refine,make or become pure cultural,,
engulf,swallow up,,
spear,weapon with a metal point on a long shaft,,
asterisk,the mark * (e.g.. omitted letters),,
conceal,hide keep secret,,
sponge,porous rubber for washing live at once expense,,
massacre,cruel killing of a large number of people,,
abscond,to go away suddenly (to avoid arrest),,
cumbersome,burdensome; heavy and awkward to carry,,
resuscitation,coming back to consciousness,,
torque,twisting force causing rotation,,
appease,make quiet or calm,,
sadistic,Cruel,,
acumen,Keen, quick, accurate insight or judgment
abstruse,difficult to comprehend; obscure,,
woo,try to win,,
writ,written order,,
repulsive,causing a feeling of disgust,,
misanthrope,person who hates mankind,,
fragrant,sweet-smelling,,
equilibrium,state of being balanced,,
premature,doing or happening something before the right time,,
edible,fit to be eaten/not poisonous,,
loll,rest to sit or stand in a lazy way hang (dog's tongue),,
chisel,steel tool for shaping materials,,
lampoon,publicly mock or ridicule,,
enzyme,catalyst,,
euphoria,elation state of pleasant excitement,,
abysmal,extreme bad,,
affable,polite and friendly,,
repel,refuse to accept/cause dislike,,
reiterate,say or do again several times,,
rejuvenation,becoming young in nature or appearance,,
solvent,of the power of forming a solution,,
articulate,speak distinctly; connect by joints,,